nome,valor,cpf,matricula,inclusao
Otávio Oliveira,605.11,238.574.038-96,47391,6/27/2019
Giovanna Lima,665.69,844.172.627-21,30662,6/17/2019
Carla Gomes,173.45,190.367.344-52,22657,6/25/2019
Luan Azevedo,548.79,709.755.904-72,25605,6/12/2019
Luana Melo,848.98,167.828.645-17,12310,6/25/2019
Nicolash Castro,243.83,296.367.208-00,11424,6/4/2019
Yasmin Barbosa,204.06,113.423.858-45,20231,6/23/2019
Luiz Lima,392.58,193.447.252-25,20090,6/29/2019
Eduarda Araujo,555.91,567.970.100-63,37328,6/13/2019
Tânia Martins,153.35,107.653.973-40,43466,6/20/2019
Júlio Cunha,258.45,384.066.839-53,15999,6/24/2019
Luis Costa,758.23,953.592.112-61,45657,6/29/2019
Júlia Fernandes,132.51,608.994.206-56,11837,6/23/2019
Anna Pinto,588.61,975.445.169-97,11740,6/9/2019
Gabrielle Rocha,854.35,147.707.796-07,28365,6/3/2019
Tomás Santos,114.75,819.246.241-25,45619,6/22/2019
Vitór Santos,468.75,570.519.830-24,25209,6/16/2019
Rafaela Barros,815.06,175.832.333-72,48447,6/22/2019
Gabriel Costa,959.57,265.764.194-65,13110,6/30/2019
Bruno Pereira,131.61,689.137.644-07,24749,6/3/2019
Joao Cardoso,522.21,707.760.592-20,44113,6/30/2019
Carolina Azevedo,188.59,694.130.913-07,49489,6/2/2019
Isabelle Barros,489.24,737.186.042-05,20763,6/25/2019
Enzo Ribeiro,339.95,249.913.755-09,21284,6/18/2019
Beatriz Rocha,740.77,535.338.519-58,30682,6/27/2019
Alice Dias,553.41,698.040.983-26,44387,6/30/2019
Nicole Rocha,655.89,253.070.272-14,36763,6/17/2019
Emilly Correia,273.88,983.588.012-38,30745,6/7/2019
Yasmin Barbosa,657.94,825.487.701-76,38007,6/26/2019
Clara Melo,262.70,787.649.110-39,32942,6/26/2019
Vinicius Lima,355.57,143.206.214-09,13647,6/27/2019
Victor Azevedo,129.07,697.732.865-76,44581,6/14/2019
Livia Correia,813.07,529.057.809-91,30714,6/23/2019
Aline Melo,744.61,995.022.638-47,42886,6/3/2019
Anna Cavalcanti,934.23,601.657.886-07,47932,6/5/2019
Mateus Cavalcanti,776.82,981.980.066-80,32413,6/19/2019
Vinícius Melo,452.16,443.295.457-48,33357,6/26/2019
Otávio Alves,559.62,367.139.940-67,22231,6/27/2019
Daniel Araujo,828.45,557.472.941-56,44501,6/21/2019
Samuel Dias,477.64,528.039.579-06,34260,6/1/2019
Emily Pinto,497.84,446.703.911-27,25378,6/20/2019
Luana Lima,877.54,180.401.875-91,36247,6/6/2019
Breno Sousa,409.51,296.829.016-93,38128,6/22/2019
Gabriela Ferreira,290.50,571.488.008-03,33947,6/27/2019
Sophia Fernandes,815.32,255.722.116-30,29039,6/19/2019
Isabelle Almeida,626.34,184.344.387-20,37021,6/30/2019
Kauan Ribeiro,582.32,458.542.811-98,34612,6/6/2019
Anna Almeida,675.69,815.801.487-94,15878,6/13/2019
Lara Cavalcanti,603.71,815.151.344-66,44284,6/26/2019
André Pereira,884.35,722.457.269-10,25920,6/8/2019
Sofia Ferreira,761.07,382.875.493-70,23762,6/27/2019
Ryan Melo,773.26,642.696.953-23,29376,6/15/2019
Anna Melo,180.24,379.338.842-53,36854,6/27/2019
Isabela Souza,333.15,889.044.256-54,31654,6/1/2019
Nicolas Barros,161.64,173.433.957-85,23161,6/25/2019
Gabrielle Gomes,161.17,504.081.514-04,12481,6/11/2019
Emily Barros,293.66,316.120.967-27,14757,6/7/2019
Bianca Souza,927.48,421.460.416-41,41569,6/24/2019
Matilde Oliveira,362.28,734.305.710-30,31959,6/1/2019
Renan Cavalcanti,121.91,568.379.831-05,15402,6/13/2019
Melissa Rodrigues,665.05,201.262.443-08,21864,6/8/2019
Lucas Araujo,183.15,609.933.580-39,18290,6/21/2019
Carla Pereira,876.63,570.601.566-07,17477,6/19/2019
Leila Almeida,733.64,737.928.885-72,38065,6/22/2019
Kauê Silva,635.63,974.691.484-77,38371,6/14/2019
Lara Carvalho,180.79,199.985.134-05,32460,6/3/2019
Isabella Souza,509.94,504.394.947-37,29211,6/5/2019
Martim Almeida,278.89,740.532.238-73,32766,6/5/2019
Isabela Souza,188.70,669.983.084-85,17053,6/18/2019
Beatriz Almeida,622.29,932.079.945-80,10413,6/18/2019
Brenda Almeida,155.02,723.175.542-90,23501,6/4/2019
Kauã Oliveira,938.10,892.404.676-45,41188,6/14/2019
Maria Ferreira,902.87,852.972.138-19,13816,6/28/2019
Douglas Alves,890.35,157.735.584-91,38945,6/28/2019
Tânia Lima,608.54,307.719.463-50,31731,6/11/2019
Luan Ribeiro,677.81,454.949.909-58,15352,6/17/2019
Beatrice Alves,591.82,857.804.530-04,24262,6/25/2019
Carla Carvalho,288.84,763.865.632-63,37282,6/27/2019
Victor Martins,840.93,155.941.934-21,38587,6/26/2019
Melissa Gomes,550.70,907.553.150-81,23020,6/28/2019
Bruno Costa,468.12,578.401.673-30,39107,6/11/2019
Breno Castro,403.41,895.041.461-98,35635,6/21/2019
Davi Carvalho,766.72,715.830.784-01,25796,6/13/2019
Renan Barbosa,965.26,513.422.434-04,28837,6/14/2019
André Ferreira,317.25,531.847.607-40,43941,6/17/2019
Igor Carvalho,103.44,320.161.478-57,44039,6/10/2019
Thaís Rodrigues,902.56,564.563.771-29,31738,6/6/2019
Julieta Santos,537.65,572.073.288-85,30533,6/22/2019
Leila Pinto,789.01,472.187.608-48,17608,6/16/2019
Thiago Gomes,353.28,260.045.876-05,29771,6/24/2019
Matheus Lima,739.90,808.990.981-77,41340,6/10/2019
Fernanda Cavalcanti,505.88,729.663.949-00,23453,6/9/2019
Gabriela Azevedo,333.57,283.833.867-61,17901,6/9/2019
Leonor Pereira,495.65,221.756.902-37,18719,6/2/2019
Eduarda Costa,495.74,748.472.005-43,13714,6/14/2019
Carla Correia,621.19,268.760.712-60,39221,6/5/2019
Rafael Fernandes,960.95,877.768.130-44,22844,6/18/2019
Caio Barbosa,853.76,463.971.674-53,41783,6/16/2019
Ana Dias,674.52,651.888.049-05,23371,6/28/2019
Isabela Carvalho,502.55,934.178.412-32,27697,6/19/2019
Tiago Alves,570.52,433.776.660-01,15224,6/1/2019
Clara Melo,347.18,603.933.376-69,10089,6/10/2019
Igor Rocha,787.55,306.712.802-87,32332,6/19/2019
Kauê Dias,691.87,397.177.795-38,45647,6/19/2019
Davi Carvalho,648.34,993.574.407-80,30355,6/1/2019
Joao Santos,960.40,629.141.993-92,19914,6/29/2019
Lara Lima,430.33,354.189.464-47,42648,6/3/2019
Diego Carvalho,664.58,548.608.407-20,15562,6/22/2019
Larissa Araujo,484.78,968.108.043-23,36971,6/30/2019
Danilo Rocha,293.15,923.956.590-61,29317,6/27/2019
Leila Ferreira,335.25,635.797.374-22,37477,6/26/2019
Luis Dias,596.81,323.948.620-25,47521,6/27/2019
Arthur Castro,852.08,693.829.245-07,44711,6/14/2019
Evelyn Martins,643.39,474.129.287-83,41548,6/24/2019
Tânia Araujo,604.86,308.766.062-06,40713,6/15/2019
Carolina Sousa,716.45,687.750.235-39,28475,6/11/2019
Sophia Costa,771.84,459.833.160-79,17396,6/5/2019
Bruno Cavalcanti,849.84,312.527.877-58,19174,6/30/2019
Tiago Barros,897.03,970.147.651-40,14058,6/12/2019
Lucas Souza,121.78,538.072.020-05,22009,6/24/2019
Vinicius Ribeiro,185.10,806.974.688-28,11690,6/2/2019
Yasmin Gomes,588.41,709.230.118-11,37919,6/6/2019
Emilly Oliveira,815.71,170.561.661-56,21187,6/16/2019
Giovanna Lima,106.55,576.538.969-44,44189,6/5/2019
Marcos Rodrigues,159.11,419.198.533-75,48266,6/21/2019
Martim Castro,331.07,810.574.743-04,22814,6/24/2019
Isabela Gomes,795.85,789.926.182-12,11388,6/15/2019
Anna Almeida,676.28,154.669.462-57,34274,6/14/2019
Nicolas Souza,925.05,723.957.391-54,35527,6/26/2019
Leila Goncalves,188.99,296.123.651-72,39840,6/26/2019
Larissa Pinto,660.41,652.953.476-80,25787,6/25/2019
Cauã Souza,132.71,638.893.347-50,49535,6/19/2019
Erick Cunha,430.89,757.451.120-93,32777,6/15/2019
Tânia Oliveira,671.86,740.696.704-75,39385,6/13/2019
Tomás Goncalves,972.44,771.533.774-92,22429,6/20/2019
Luís Correia,864.02,452.414.583-44,46227,6/22/2019
Alice Pinto,136.53,681.518.227-40,41475,6/25/2019
João Cunha,738.09,929.688.106-42,11595,6/21/2019
Melissa Santos,737.38,843.009.366-41,22651,6/11/2019
Gabriela Silva,444.62,787.697.652-27,13100,6/28/2019
Pedro Gomes,656.17,804.690.601-82,32850,6/8/2019
Kauê Correia,275.07,942.929.224-20,27174,6/25/2019
Pedro Santos,671.61,693.031.769-10,20959,6/19/2019
Vitória Almeida,926.65,689.086.232-56,15784,6/13/2019
Gabriel Cunha,652.83,868.674.716-76,44131,6/30/2019
Sarah Dias,1000.24,374.154.585-67,41366,6/12/2019
Isabella Gomes,881.90,826.242.233-39,34506,6/19/2019
Pedro Silva,570.41,218.944.396-27,28117,6/27/2019
Luan Souza,696.92,148.477.281-49,48996,6/3/2019
Clara Oliveira,380.72,600.467.803-19,40142,6/15/2019
Luan Costa,119.93,946.891.707-03,37052,6/12/2019
Gabrielle Silva,786.10,145.967.221-61,47881,6/16/2019
Leonor Melo,943.58,379.992.071-44,30447,6/21/2019
Thaís Cardoso,269.25,538.865.312-95,12621,6/9/2019
Nicolash Silva,651.79,206.069.842-16,40879,6/20/2019
Julia Carvalho,790.18,169.617.460-04,24714,6/20/2019
Murilo Oliveira,840.97,505.415.131-17,39318,6/21/2019
Ágatha Rodrigues,500.28,378.248.118-67,22956,6/18/2019
Estevan Santos,550.54,991.035.277-00,27346,6/21/2019
Lara Dias,144.39,799.881.395-43,35070,6/14/2019
Emily Barbosa,630.40,988.509.688-41,31795,6/21/2019
Daniel Oliveira,602.50,660.934.493-00,45458,6/12/2019
Júlia Ferreira,762.91,847.899.987-62,30511,6/5/2019
Brenda Lima,757.94,669.841.909-59,38297,6/1/2019
Erick Fernandes,957.53,919.708.387-95,35760,6/7/2019
Nicolash Pinto,167.56,435.805.191-07,19704,6/20/2019
Larissa Melo,858.99,308.697.044-86,25452,6/9/2019
Felipe Gomes,870.37,571.350.765-32,29906,6/9/2019
Murilo Sousa,887.27,139.891.214-05,12102,6/6/2019
Clara Cardoso,413.50,345.556.408-96,28997,6/5/2019
Vitor Gomes,492.31,402.080.963-10,31162,6/25/2019
Felipe Oliveira,159.19,804.564.486-91,34071,6/30/2019
Douglas Silva,413.74,156.061.024-71,33194,6/1/2019
Julian Barbosa,406.92,507.748.659-03,36569,6/20/2019
Marcos Correia,667.51,751.694.766-04,17956,6/9/2019
Tânia Carvalho,546.03,499.871.598-42,21011,6/29/2019
Gabriel Lima,254.81,868.326.771-70,34627,6/23/2019
Danilo Ferreira,273.01,749.002.499-47,16420,6/9/2019
Vitór Oliveira,823.73,326.726.325-53,39971,6/22/2019
Vitoria Castro,500.35,450.874.508-30,22718,6/26/2019
Matilde Santos,129.85,335.564.415-35,21449,6/22/2019
Julia Rocha,125.49,869.857.142-50,40037,6/10/2019
Kauê Fernandes,217.95,773.818.827-87,27457,6/15/2019
Lucas Sousa,621.23,531.541.281-40,44590,6/27/2019
André Rocha,911.07,141.037.679-60,49289,6/23/2019
Melissa Souza,251.36,992.387.036-71,23904,6/7/2019
Isabela Cardoso,167.13,645.303.960-53,31644,6/14/2019
Leonor Gomes,512.16,291.013.481-40,36988,6/28/2019
Luiza Ferreira,183.52,831.989.608-86,21505,6/18/2019
Júlia Carvalho,781.76,346.000.315-47,44417,6/2/2019
Anna Rocha,772.16,706.102.140-39,25956,6/6/2019
Paulo Pereira,833.63,373.072.468-13,21402,6/28/2019
Eduarda Cunha,298.24,529.021.583-27,43416,6/7/2019
Carlos Carvalho,278.63,903.209.803-91,13279,6/10/2019
Anna Melo,654.64,721.210.042-03,36824,6/25/2019
Ryan Melo,886.27,295.083.127-34,26750,6/27/2019
Julieta Azevedo,822.48,609.728.128-57,43403,6/6/2019
Emily Souza,986.37,349.857.334-90,43808,6/25/2019
Alice Barros,459.59,832.507.577-56,10301,6/21/2019
Beatriz Dias,876.93,965.558.210-86,14640,6/9/2019
Julieta Sousa,766.82,665.991.647-49,12137,6/12/2019
Kaua Goncalves,176.93,418.301.727-00,37405,6/15/2019
André Cavalcanti,481.21,815.554.370-60,32334,6/28/2019
Ágatha Goncalves,628.64,514.273.758-01,21653,6/10/2019
Livia Almeida,605.16,700.862.877-37,49217,6/25/2019
Bianca Pereira,757.99,199.615.345-57,34083,6/11/2019
Kauan Barros,178.84,626.772.676-24,40959,6/23/2019
Cauã Rocha,900.87,301.073.491-32,27944,6/21/2019
Luana Barbosa,443.01,330.298.491-04,13505,6/28/2019
Vitor Ribeiro,382.17,522.041.296-58,19772,6/28/2019
Julia Correia,918.71,865.316.424-32,17081,6/6/2019
Anna Santos,686.88,729.065.536-20,22117,6/24/2019
Bruna Pinto,919.83,979.473.294-00,46192,6/22/2019
Matheus Castro,653.69,580.575.351-05,43614,6/23/2019
Gustavo Rocha,405.84,816.785.213-02,43300,6/30/2019
Sofia Castro,299.56,166.253.661-53,10158,6/21/2019
Lucas Goncalves,179.90,829.161.270-62,25404,6/5/2019
Giovana Azevedo,737.97,892.846.257-69,21980,6/24/2019
Daniel Pinto,431.36,208.642.069-25,49697,6/7/2019
Estevan Barros,292.28,585.123.630-29,15272,6/27/2019
Martim Goncalves,427.74,117.078.480-17,12442,6/18/2019
Felipe Pereira,643.79,100.144.286-52,40109,6/27/2019
Tânia Araujo,633.94,589.330.384-93,19235,6/11/2019
Samuel Carvalho,159.47,329.434.581-04,33079,6/4/2019
Tânia Martins,147.33,964.466.843-04,21103,6/17/2019
Bruna Carvalho,106.83,428.578.393-24,29462,6/4/2019
Luís Ribeiro,969.57,484.120.282-01,42471,6/29/2019
Vitoria Ferreira,748.48,319.150.161-42,39990,6/16/2019
Carolina Pereira,125.23,300.439.976-86,22021,6/24/2019
Ágatha Gomes,506.27,881.916.388-86,44368,6/24/2019
Kauã Rocha,912.13,548.618.799-81,37155,6/6/2019
Emily Silva,278.24,975.773.874-36,25532,6/10/2019
Ágatha Fernandes,659.72,380.499.665-50,34991,6/11/2019
Lavinia Almeida,488.43,475.383.054-32,23929,6/15/2019
Mateus Lima,869.69,924.209.653-96,30419,6/24/2019
Antônio Almeida,901.22,869.302.279-27,11518,6/22/2019
Gabriela Cavalcanti,136.31,505.097.607-32,38256,6/26/2019
Raissa Barbosa,947.92,119.200.540-65,42975,6/30/2019
Júlia Cunha,936.86,961.542.162-62,39058,6/29/2019
Marina Almeida,734.48,882.926.425-36,10802,6/23/2019
Julian Barros,128.30,921.693.801-32,46253,6/5/2019
Giovanna Silva,482.21,259.045.181-45,12192,6/13/2019
Daniel Rocha,610.52,433.437.298-84,15833,6/25/2019
Felipe Rocha,889.85,753.875.274-99,10453,6/28/2019
Sofia Souza,921.34,835.307.239-40,17535,6/7/2019
Luís Azevedo,766.06,774.748.537-95,45694,6/18/2019
Rodrigo Gomes,133.98,871.665.490-09,39997,6/24/2019
Douglas Carvalho,181.74,694.097.370-28,17468,6/9/2019
Tânia Araujo,823.06,212.727.367-25,15139,6/18/2019
Clara Cardoso,484.61,871.443.204-83,12236,6/23/2019
Martim Fernandes,346.35,543.561.993-91,21288,6/2/2019
Miguel Goncalves,831.87,811.856.309-02,30645,6/7/2019
Kauê Ribeiro,594.14,644.884.325-65,32279,6/2/2019
Luiza Rocha,727.92,210.892.637-24,31238,6/12/2019
Melissa Barros,569.49,637.405.268-40,36663,6/15/2019
Sofia Barbosa,842.30,614.800.025-34,21260,6/13/2019
Davi Azevedo,531.12,231.248.084-01,10599,6/21/2019
Mateus Sousa,830.71,393.455.911-50,19580,6/25/2019
Eduardo Araujo,744.94,456.744.731-02,13541,6/8/2019
Marcos Rodrigues,279.88,832.768.393-42,12665,6/11/2019
Gabriela Silva,787.53,165.726.613-34,41831,6/7/2019
André Fernandes,903.79,289.279.428-50,42598,6/8/2019
Laura Pinto,269.91,870.665.940-37,49812,6/5/2019
Felipe Dias,277.79,585.650.726-65,48840,6/25/2019
Maria Ferreira,710.06,273.572.839-09,30474,6/16/2019
Júlio Castro,972.86,741.912.110-99,14331,6/15/2019
Matilde Ribeiro,826.83,217.552.932-08,46685,6/18/2019
Douglas Barros,694.76,828.133.920-90,23221,6/27/2019
Isabella Gomes,347.43,928.541.495-80,29605,6/22/2019
Lavinia Azevedo,575.11,178.939.095-87,20680,6/15/2019
Arthur Fernandes,228.41,897.909.410-80,39252,6/26/2019
Kauê Correia,464.02,229.906.201-76,49565,6/15/2019
Rodrigo Correia,264.66,836.086.188-99,23546,6/8/2019
Luan Castro,104.26,163.987.402-03,10795,6/4/2019
Victor Dias,683.88,701.106.156-89,37080,6/9/2019
Joao Azevedo,542.69,128.922.677-65,22298,6/12/2019
